Size..bp.,TK150013_Y2006_L,TK150013_Y2006_M,TK150014_Y2006_L,TK150014_Y2006_M,TK150019_Y2006_L,TK150019_Y2006_M,TK150027_Y2006_L,TK150027_Y2006_M,TK150036_Y2006_L,TK150036_Y2006_M,TK150038_Y2006_L,TK150038_Y2006_M,TK150043_Y2006_L,TK150043_Y2006_M,TK150119_Y2006_L,TK150119_Y2006_M,TK150122_Y2006_L,TK150122_Y2006_M,TK150129_Y2006_L,TK150129_Y2006_M,TK150131_Y2006_L,TK150131_Y2006_M,TK150133_Y2006_L,TK150133_Y2006_M,TK150135_Y2006_L,TK150135_Y2006_M,TK150138_Y2006_L,TK150138_Y2006_M,TK150139_Y2006_L,TK150139_Y2006_M,TK150140_Y2006_L,TK150140_Y2006_M,TK150145_Y2006_L,TK150145_Y2006_M,TK150148_Y2006_L,TK150148_Y2006_M,TK150150_Y2006_L,TK150150_Y2006_M,TK150159_Y2006_L,TK150159_Y2006_M,TK150168_Y2006_L,TK150168_Y2006_M,TK150172_Y2006_L,TK150172_Y2006_M,TK150183_Y2006_L,TK150183_Y2006_M,TK150184_Y2006_L,TK150184_Y2006_M,TK150233_Y2006_L,TK150233_Y2006_M,TK188255_Y2016_L,TK188255_Y2016_M,TK188274_Y2016_L,TK188274_Y2016_M,TK188278_Y2016_L,TK188278_Y2016_M,TK188288_Y2016_L,TK188288_Y2016_M,TK188297_Y2016_L,TK188297_Y2016_M,TK197090_Y2016_L,TK197090_Y2016_M,TK197100_Y2016_L,TK197100_Y2016_M,TK197103_Y2016_L,TK197103_Y2016_M,TK197123_Y2016_L,TK197123_Y2016_M,TK197127_Y2016_L,TK197127_Y2016_M,TK197134_Y2016_L,TK197134_Y2016_M,TK197158_Y2016_L,TK197158_Y2016_M,TK197258_Y2016_L,TK197258_Y2016_M,TK197301_Y2016_L,TK197301_Y2016_M,TK197307_Y2016_L,TK197307_Y2016_M,TK197322_Y2016_L,TK197322_Y2016_M,TK197331_Y2016_L,TK197331_Y2016_M,TK197345_Y2016_L,TK197345_Y2016_M,TK197372_Y2016_L,TK197372_Y2016_M,TK197378_Y2016_L,TK197378_Y2016_M,TK197386_Y2016_L,TK197386_Y2016_M,TK197586_Y2016_L,TK197586_Y2016_M,TK197677_Y2016_L,TK197677_Y2016_M,TK197735_Y2016_L,TK197735_Y2016_M,TK197746_Y2016_L,TK197746_Y2016_M,TK28958_Y1986_L,TK28958_Y1986_M,TK28994_Y1986_L,TK28994_Y1986_M,TK28996_Y1986_L,TK28996_Y1986_M,TK28997_Y1986_L,TK28997_Y1986_M,TK28998_Y1986_L,TK28998_Y1986_M,TK30014_Y1986_L,TK30014_Y1986_M,TK30560_Y1986_L,TK30560_Y1986_M,TK47554_Y1996_L,TK47554_Y1996_M,TK47560_Y1996_L,TK47560_Y1996_M,TK49607_Y1996_L,TK49607_Y1996_M,TK51534_Y1996_L,TK51534_Y1996_M,TK51578_Y1996_L,TK51578_Y1996_M,TK51585_Y1996_L,TK51585_Y1996_M,TK51605_Y1996_L,TK51605_Y1996_M,TK51652_Y1996_L,TK51652_Y1996_M,TK51673_Y1996_L,TK51673_Y1996_M,TK51681_Y1996_L,TK51681_Y1996_M,TK51690_Y1996_L,TK51690_Y1996_M,TK51698_Y1996_L,TK51698_Y1996_M,TK51704_Y1996_L,TK51704_Y1996_M,TK51718_Y1996_L,TK51718_Y1996_M,TK51720_Y1996_L,TK51720_Y1996_M,TK51733_Y1996_L,TK51733_Y1996_M,TK51734_Y1996_L,TK51734_Y1996_M,TK52061_Y1996_L,TK52061_Y1996_M,TK52135_Y1996_L,TK52135_Y1996_M,TK52154_Y1996_L,TK52154_Y1996_M,TK52164_Y1996_L,TK52164_Y1996_M,TK52167_Y1996_L,TK52167_Y1996_M,TK52171_Y1996_L,TK52171_Y1996_M,TK52480_Y1996_L,TK52480_Y1996_M,TK57938_Y1996_L,TK57938_Y1996_M
1000,100,100,300,0,200,0,300,568.1818182,300,200,500,100,100,100,295.4545455,100,104.5454545,159.0909091,100,0,100,100,200,100,0,63.63636364,90.90909091,100,100,100,100,86.36363636,100,0,100,100,100,100,95.45454545,0,4.545454545,0,100,0,0,436.3636364,100,100,0,0,200,0,140.9090909,300,100,0,200,100,0,0,100,0,0,0,0,100,100,300,100,0,100,0,4.545454545,100,0,0,200,100,100,100,3672.727273,0,100,0,0,0,100,22.72727273,0,100,200,0,200,0,100,0,0,0,100,0,300,200,100,0,190.9090909,100,100,200,200,200,0,300,550,0,100,0,290.9090909,0,300,309.0909091,0,0,0,0,100,95.45454545,127.2727273,100,0,0,259.0909091,454.5454545,222.7272727,0,0,0,0,0,0,13.63636364,0,0,172.7272727,0,100,200,100,100,200,0,200,0,0,200,200,0,0,0,0,0,0,181.8181818,672.7272727,0
1100,100,100,300,0,200,0,340,640,300,200,513.3333333,100,100,100,300,100,113.3333333,200,100,0,100,100,200,129.4117647,0,53.33333333,100,100,100,100,100,100,100,0,100,100,100,100,100,0,82.35294118,0,100,0,0,400,100,127.7777778,0,0,255.5555556,0,200,311.1111111,116.6666667,0,200,100,0,0,100,0,33.33333333,0,0,100,100,300,100,0,100,0,0,100,0,0,200,100,100,100,4286.666667,0,126.6666667,6.666666667,0,0,100,0,0,100,206.6666667,0,200,0,100,0,6.666666667,0,100,0,300,200,100,0,200,100,100,200,200,200,0,300,513.3333333,0,100,0,293.3333333,0,300,366.6666667,0,0,0,0,100,100,100,100,0,0,200,540,233.3333333,0,0,0,0,0,18.75,37.5,0,0,200,0,100,200,100,100,200,0,200,0,0,200,193.3333333,0,0,0,0,0,0,200,600,0
1200,160,100,392.8571429,0,235.7142857,0,400,757.1428571,350,278.5714286,614.2857143,100,150,100,300,100,200,228.5714286,100,0,100,100,278.5714286,200,0,100,100,100,100,100,175,100,100,0,100,137.5,100,100,100,0,100,0,100,0,31.25,456.25,100,200,0,0,300,0,200,400,200,0,200,100,0,0,100,0,73.33333333,0,46.66666667,100,100,200,100,0,100,0,0,100,0,0,200,100,100,100,5013.333333,0,200,86.66666667,33.33333333,0,173.3333333,0,0,100,300,0,225,0,100,0,100,0,100,0,346.6666667,240,146.6666667,0,200,112.5,100,200,293.3333333,200,0,331.25,656.25,0,100,0,300,0,381.25,625,0,0,0,0,120,100,100,100,0,0,200,621.4285714,300,0,0,0,80,0,86.66666667,26.66666667,0,0,207.1428571,0,100,264.2857143,100,100,200,14.28571429,200,40,0,271.4285714,200,0,6.666666667,0,0,0,0,200,600,0
1300,200,106.6666667,420,0,300,0,440,900,400,300,693.3333333,146.6666667,200,113.3333333,300,100,200,306.6666667,100,0,100,100,300,200,0,100,100,100,100,100,200,100,100,20,100,160,100,100,100,0,100,0,100,0,93.75,500,144.4444444,205.5555556,0,0,366.6666667,0,200,411.1111111,200,77.77777778,200,193.75,43.75,0,100,87.5,100,0,0,143.75,100,262.5,106.25,0,100,0,66.66666667,100,0,0,281.25,100,100,106.6666667,6106.666667,0,200,100,81.25,0,200,0,0,100,300,0,281.25,0,100,0,100,0,100,0,400,300,125,0,275,200,100,200,300,293.75,0,400,793.3333333,0,100,0,340,0,400,553.3333333,0,0,12.5,0,193.75,100,100,100,0,0,200,760,306.25,0,0,0,100,0,100,93.75,0,0,300,0,100,300,160,100,200,100,200,100,0,300,200,0,68.75,0,0,0,0,200,600,0
1400,200,200,553.3333333,0,346.6666667,0,540,1146.666667,446.6666667,346.6666667,786.6666667,200,200,200,300,186.6666667,200,426.6666667,100,0,100,100,353.3333333,256.25,0,100,100,100,100,100,200,100,100,100,100,200,100,193.75,100,0,100,0,100,18.75,100,543.75,200,300,44.44444444,46.66666667,455.5555556,0,286.6666667,511.1111111,200,100,255.5555556,200,66.66666667,0,100,100,100,0,13.33333333,200,153.3333333,300,200,0,100,0,100,100,0,0,313.3333333,100,193.3333333,200,7826.666667,0,213.3333333,100,100,0,200,66.66666667,0,100,393.3333333,0,300,93.33333333,100,0,100,0,100,0,468.75,318.75,200,0,312.5,200,100,200,362.5,300,0,418.75,943.75,0,175,0,443.75,0,537.5,256.25,0,0,100,0,200,100,100,100,0,0,156.25,973.3333333,400,0,0,0,100,0,100,100,62.5,46.66666667,373.3333333,0,100,393.3333333,200,100,273.3333333,100,200,100,46.66666667,373.3333333,286.6666667,0,100,0,0,0,0,293.3333333,600,0
1500,290.9090909,200,654.5454545,0,400,0,636.3636364,1472.727273,518.1818182,400,945.4545455,200,200,236.3636364,400,200,227.2727273,536.3636364,158.3333333,50,100,145.4545455,400,300,0,100,100,172.7272727,100,100,200,100,100,100,200,200,100,200,100,0,100,0,200,83.33333333,100,600,215.3846154,384.6153846,100,72.72727273,576.9230769,0,381.8181818,607.6923077,238.4615385,100,300,263.6363636,100,45.45454545,163.6363636,100,100,0,100,236.3636364,200,309.0909091,200,0,100,36.36363636,100,100,0,63.63636364,400,100,200,109.0909091,10209.09091,0,300,100,100,0,245.4545455,100,25,100,454.5454545,0,383.3333333,100,100,0,100,0,191.6666667,72.72727273,563.6363636,400,200,0,400,254.5454545,100,227.2727273,400,363.6363636,72.72727273,500,1127.272727,27.27272727,200,0,500,0,627.2727273,281.8181818,0,0,100,0,254.5454545,100,100,163.6363636,63.63636364,0,100,1281.818182,463.6363636,0,0,0,100,0,100,100,100,100,490.9090909,0,190.9090909,500,200,100,300,100,200,100,100,463.6363636,318.1818182,0,100,9.090909091,72.72727273,0,0,309.0909091,600,0
1600,300,200,775,0,500,0,700,1750,600,500,1075,225,200,300,400,200,300,600,200,100,180,200,500,340,0,100,100,200,100,100,200,100,100,100,200,240,100,200,100,0,100,0,200,100,100,600,300,420,100,100,680,0,400,700,300,100,380,300,100,100,200,100,100,0,100,300,200,400,200,0,100,100,100,100,0,100,400,100,200,200,11900,0,300,100,100,0,300,100,100,100,500,0,400,100,100,0,100,0,200,100,625,425,200,0,400,300,175,300,475,400,100,500,1275,100,200,0,600,100,700,375,0,0,100,0,300,100,100,200,100,0,100,1525,500,0,0,0,100,0,100,100,100,100,600,0,200,600,200,150,375,100,200,100,100,500,400,0,100,100,100,0,0,400,600,0
1700,320,300,825,0,500,0,800,1875,625,500,1125,300,200,300,400,300,300,680,200,100,200,200,500,400,0,100,100,200,100,175,225,100,100,100,200,300,100,200,100,0,100,0,200,100,100,700,300,500,100,100,700,0,460,740,300,100,400,300,100,100,200,100,100,0,100,300,200,400,200,20,100,100,100,160,0,100,500,100,260,200,13120,100,340,100,100,60,300,100,100,100,600,0,500,100,200,0,100,0,200,100,700,500,200,100,500,300,200,300,500,400,100,560,1400,100,200,0,600,100,780,420,0,0,100,0,300,100,100,200,100,0,100,1650,600,0,0,100,100,50,100,100,100,100,625,0,200,650,200,200,400,100,225,100,100,600,400,40,100,100,100,0,0,400,650,0
1800,400,300,900,0,560,0,820,2080,700,520,1220,300,225,360,400,300,300,700,200,100,200,200,550,400,0,100,120,200,100,200,300,100,100,100,200,300,100,200,100,0,100,0,200,100,100,700,300,520,100,100,800,0,500,800,300,100,400,300,100,100,200,100,100,20,100,300,240,400,240,100,100,100,100,200,0,100,500,120,300,200,14860,100,400,140,100,100,300,100,100,160,600,0,500,100,200,0,100,0,200,100,760,500,300,100,500,400,200,300,500,500,100,600,1540,100,240,0,700,100,840,500,60,0,100,80,340,140,100,200,100,0,100,1820,600,0,0,100,100,100,100,100,100,100,720,0,200,720,280,200,400,140,300,100,100,640,440,100,100,100,100,0,0,440,700,0
1900,400,300,1000,0,600,0,900,2300,750,600,1325,300,300,400,460,300,300,740,200,100,200,200,600,400,0,100,200,200,100,200,300,100,100,100,200,300,100,200,100,0,100,0,280,100,100,720,300,600,100,100,800,0,575,833.3333333,300,100,400,375,100,100,200,100,150,100,100,300,300,400,300,100,100,100,100,200,0,100,525,200,300,200,16350,100,400,150,100,100,375,100,100,200,700,0,520,100,200,0,100,0,200,100,800,600,300,100,500,400,200,300,575,500,100,600,1650,100,300,0,725,100,900,500,100,0,100,100,400,200,100,200,100,0,100,2000,700,0,0,100,100,100,200,100,120,100,800,0,250,800,300,200,450,200,300,100,100,700,500,100,100,100,100,0,0,500,700,0
